,0
357,0.022727272727272728
685,0.09090909090909091
507,0.015151515151515152
321,0.015151515151515152
63,0.007575757575757576
94,0.022727272727272728
544,0.045454545454545456
169,0.09848484848484848
377,0.007575757575757576
658,0.007575757575757576
218,0.015151515151515152
736,0.007575757575757576
289,0.007575757575757576
552,0.007575757575757576
108,0.015151515151515152
746,0.007575757575757576
45,0.030303030303030304
692,0.007575757575757576
420,0.015151515151515152
595,0.015151515151515152
280,0.007575757575757576
331,0.015151515151515152
607,0.030303030303030304
414,0.015151515151515152
415,0.03787878787878788
641,0.007575757575757576
3,0.007575757575757576
513,0.007575757575757576
668,0.007575757575757576
91,0.10606060606060606
646,0.007575757575757576
403,0.007575757575757576
163,0.007575757575757576
54,0.007575757575757576
385,0.015151515151515152
142,0.007575757575757576
632,0.007575757575757576
160,0.007575757575757576
10,0.09090909090909091
525,0.030303030303030304
4,0.007575757575757576
318,0.007575757575757576
529,0.030303030303030304
9,0.007575757575757576
306,0.007575757575757576
337,0.007575757575757576
384,0.015151515151515152
603,0.007575757575757576
92,0.007575757575757576
462,0.007575757575757576
